"target_child_age_months","collection_name","child_count"
12,"Eng-NA",3
13,"Eng-NA",11
13,"Eng-UK",1
14,"Eng-NA",44
14,"Eng-UK",1
15,"Eng-NA",12
15,"Eng-UK",1
16,"Eng-NA",12
16,"Eng-UK",1
17,"Eng-NA",17
17,"Eng-UK",13
18,"Eng-NA",25
18,"Eng-UK",22
19,"Eng-NA",48
19,"Eng-UK",20
20,"Eng-NA",80
20,"Eng-UK",11
21,"Eng-NA",32
21,"Eng-UK",23
22,"Eng-NA",29
22,"Eng-UK",7
23,"Eng-NA",25
23,"Eng-UK",27
24,"Eng-NA",25
24,"Eng-UK",52
25,"Eng-NA",26
25,"Eng-UK",20
26,"Eng-NA",26
26,"Eng-UK",30
27,"Eng-NA",28
27,"Eng-UK",37
28,"Eng-NA",105
28,"Eng-UK",23
29,"Eng-NA",32
29,"Eng-UK",32
30,"Eng-NA",35
30,"Eng-UK",39
31,"Eng-NA",29
31,"Eng-UK",24
32,"Eng-NA",33
32,"Eng-UK",30
33,"Eng-NA",20
33,"Eng-UK",41
34,"Eng-NA",16
34,"Eng-UK",19
35,"Eng-NA",19
35,"Eng-UK",25
36,"Eng-NA",25
36,"Eng-UK",52
37,"Eng-NA",20
37,"Eng-UK",5
38,"Eng-NA",18
38,"Eng-UK",12
39,"Eng-NA",20
39,"Eng-UK",31
40,"Eng-NA",27
40,"Eng-UK",7
41,"Eng-NA",16
41,"Eng-UK",20
42,"Eng-NA",13
42,"Eng-UK",24
43,"Eng-NA",14
43,"Eng-UK",8
44,"Eng-NA",14
44,"Eng-UK",4
45,"Eng-NA",12
45,"Eng-UK",6
46,"Eng-NA",15
46,"Eng-UK",6
47,"Eng-NA",14
47,"Eng-UK",6
48,"Eng-NA",19
48,"Eng-UK",5
49,"Eng-NA",10
49,"Eng-UK",4
50,"Eng-NA",13
50,"Eng-UK",4
51,"Eng-NA",12
51,"Eng-UK",2
52,"Eng-NA",10
52,"Eng-UK",5
53,"Eng-NA",7
53,"Eng-UK",3
54,"Eng-NA",9
54,"Eng-UK",2
55,"Eng-NA",8
55,"Eng-UK",2
56,"Eng-NA",6
56,"Eng-UK",3
57,"Eng-NA",43
57,"Eng-UK",6
58,"Eng-NA",7
58,"Eng-UK",5
59,"Eng-NA",6
59,"Eng-UK",5
60,"Eng-NA",8
60,"Eng-UK",10
61,"Eng-NA",4
61,"Eng-UK",6
62,"Eng-NA",6
62,"Eng-UK",6
63,"Eng-NA",5
63,"Eng-UK",3
64,"Eng-NA",4
65,"Eng-NA",2
66,"Eng-NA",4
67,"Eng-NA",3
68,"Eng-NA",8
69,"Eng-NA",4
70,"Eng-NA",6
71,"Eng-NA",6
