"","speaker_role","word","speech_act","count","total","rel_freq","ppt"
"1","Father","and","declarative",9498,564003,0.0168403359556598,16.8403359556598
"2","Father","and","imperative",161,10973,0.0146723776542422,14.6723776542422
"3","Father","and","other",1784,62218,0.0286733742646822,28.6733742646822
"4","Father","and","question",4045,328428,0.012316245874286,12.316245874286
"5","Father","or","declarative",622,564003,0.00110283101331021,1.10283101331021
"6","Father","or","imperative",2,10973,0.000182265560922264,0.182265560922264
"7","Father","or","other",148,62218,0.00237873284258575,2.37873284258575
"8","Father","or","question",911,328428,0.00277381952817665,2.77381952817665
"9","Father","other","declarative",553883,564003,0.98205683303103,982.05683303103
"10","Father","other","imperative",10810,10973,0.985145356784836,985.145356784835
"11","Father","other","other",60286,62218,0.968947892892732,968.947892892732
"12","Father","other","question",323472,328428,0.984909934597537,984.909934597537
"13","Mother","and","declarative",102402,5083840,0.0201426480770441,20.1426480770441
"14","Mother","and","imperative",1378,98822,0.0139442634231244,13.9442634231244
"15","Mother","and","other",10533,254761,0.0413446328127147,41.3446328127147
"16","Mother","and","question",39468,3073840,0.0128399656455769,12.8399656455769
"17","Mother","or","declarative",6224,5083840,0.00122427141688173,1.22427141688173
"18","Mother","or","imperative",41,98822,0.000414887373256967,0.414887373256967
"19","Mother","or","other",741,254761,0.00290860846047864,2.90860846047864
"20","Mother","or","question",7282,3073840,0.00236902376180933,2.36902376180933
"21","Mother","other","declarative",4975214,5083840,0.978633080506074,978.633080506074
"22","Mother","other","imperative",97403,98822,0.985640849203619,985.640849203619
"23","Mother","other","other",243487,254761,0.955746758726807,955.746758726807
"24","Mother","other","question",3027090,3073840,0.984791010592614,984.791010592614
"25","Target_Child","and","declarative",63994,3734267,0.0171369642288567,17.1369642288567
"26","Target_Child","and","imperative",1668,113800,0.0146572934973638,14.6572934973638
"27","Target_Child","and","other",6243,153208,0.0407485248812072,40.7485248812072
"28","Target_Child","and","question",6538,678430,0.00963695591291659,9.63695591291659
"29","Target_Child","or","declarative",1635,3734267,0.000437836930246284,0.437836930246284
"30","Target_Child","or","imperative",30,113800,0.000263620386643234,0.263620386643234
"31","Target_Child","or","other",144,153208,0.000939898699806799,0.939898699806799
"32","Target_Child","or","question",781,678430,0.00115118730008991,1.15118730008991
"33","Target_Child","other","declarative",3668638,3734267,0.982425198840897,982.425198840897
"34","Target_Child","other","imperative",112102,113800,0.985079086115993,985.079086115993
"35","Target_Child","other","other",146821,153208,0.958311576418986,958.311576418986
"36","Target_Child","other","question",671111,678430,0.989211856786994,989.211856786994
