"","speaker_role","word","count","total","rel_freq","ppt"
"1","Father","and",15488,965622,0.0160394025819627,16.0394025819627
"2","Father","or",1683,965622,0.00174291803625021,1.74291803625021
"3","Father","other",948451,965622,0.982217679381787,982.217679381787
"4","Mother","and",153781,8511263,0.0180679412679411,18.0679412679411
"5","Mother","or",14288,8511263,0.0016787167779917,1.6787167779917
"6","Mother","other",8343194,8511263,0.980253341954067,980.253341954067
"7","Target_Child","and",78443,4679705,0.0167623813894252,16.7623813894252
"8","Target_Child","or",2590,4679705,0.000553453689922762,0.553453689922762
"9","Target_Child","other",4598672,4679705,0.982684164920652,982.684164920652
