"","speaker_role","target_child_age_months","count"
"1","Father",12,172
"2","Father",13,409
"3","Father",14,5730
"4","Father",15,3495
"5","Father",16,16496
"6","Father",17,23770
"7","Father",18,21358
"8","Father",19,8616
"9","Father",20,8915
"10","Father",21,15253
"11","Father",22,24617
"12","Father",23,24714
"13","Father",24,49642
"14","Father",25,25063
"15","Father",26,27653
"16","Father",27,16135
"17","Father",28,20845
"18","Father",29,28623
"19","Father",30,47199
"20","Father",31,25772
"21","Father",32,28192
"22","Father",33,32796
"23","Father",34,38019
"24","Father",35,37182
"25","Father",36,68576
"26","Father",37,22413
"27","Father",38,18810
"28","Father",39,23879
"29","Father",40,17658
"30","Father",41,15481
"31","Father",42,12423
"32","Father",43,17145
"33","Father",44,12183
"34","Father",45,9695
"35","Father",46,17017
"36","Father",47,11221
"37","Father",48,17337
"38","Father",49,8563
"39","Father",50,14876
"40","Father",51,13198
"41","Father",52,13019
"42","Father",53,4501
"43","Father",54,6540
"44","Father",55,2871
"45","Father",56,6060
"46","Father",57,64085
"47","Father",58,3919
"48","Father",59,9425
"49","Father",60,2191
"50","Father",61,4259
"51","Father",62,2995
"52","Father",63,5377
"53","Father",64,2218
"54","Father",65,625
"55","Father",66,1606
"56","Father",67,551
"57","Father",68,288
"58","Father",69,3514
"59","Father",70,1722
"60","Father",71,168
"61","Mother",12,29855
"62","Mother",13,25909
"63","Mother",14,78394
"64","Mother",15,40349
"65","Mother",16,51221
"66","Mother",17,58292
"67","Mother",18,85612
"68","Mother",19,128474
"69","Mother",20,134253
"70","Mother",21,120363
"71","Mother",22,111685
"72","Mother",23,199126
"73","Mother",24,432656
"74","Mother",25,409777
"75","Mother",26,393328
"76","Mother",27,375231
"77","Mother",28,425116
"78","Mother",29,417340
"79","Mother",30,422761
"80","Mother",31,430865
"81","Mother",32,357504
"82","Mother",33,398866
"83","Mother",34,356279
"84","Mother",35,292340
"85","Mother",36,470847
"86","Mother",37,214410
"87","Mother",38,129993
"88","Mother",39,133842
"89","Mother",40,91927
"90","Mother",41,64016
"91","Mother",42,68177
"92","Mother",43,69714
"93","Mother",44,81039
"94","Mother",45,107760
"95","Mother",46,85166
"96","Mother",47,68209
"97","Mother",48,90651
"98","Mother",49,68689
"99","Mother",50,66796
"100","Mother",51,64565
"101","Mother",52,49168
"102","Mother",53,61912
"103","Mother",54,60725
"104","Mother",55,54495
"105","Mother",56,52471
"106","Mother",57,255849
"107","Mother",58,50269
"108","Mother",59,62429
"109","Mother",60,24605
"110","Mother",61,10602
"111","Mother",62,13615
"112","Mother",63,13489
"113","Mother",64,17656
"114","Mother",65,13134
"115","Mother",66,23360
"116","Mother",67,29989
"117","Mother",68,16398
"118","Mother",69,23190
"119","Mother",70,14260
"120","Mother",71,12465
"121","Target_Child",12,2580
"122","Target_Child",13,2214
"123","Target_Child",14,6238
"124","Target_Child",15,9231
"125","Target_Child",16,12599
"126","Target_Child",17,15661
"127","Target_Child",18,24070
"128","Target_Child",19,30274
"129","Target_Child",20,35480
"130","Target_Child",21,47918
"131","Target_Child",22,49686
"132","Target_Child",23,77671
"133","Target_Child",24,184344
"134","Target_Child",25,146195
"135","Target_Child",26,152184
"136","Target_Child",27,163906
"137","Target_Child",28,177560
"138","Target_Child",29,218047
"139","Target_Child",30,214396
"140","Target_Child",31,219577
"141","Target_Child",32,196417
"142","Target_Child",33,204947
"143","Target_Child",34,205309
"144","Target_Child",35,165793
"145","Target_Child",36,322547
"146","Target_Child",37,131118
"147","Target_Child",38,99166
"148","Target_Child",39,98819
"149","Target_Child",40,74358
"150","Target_Child",41,64539
"151","Target_Child",42,61791
"152","Target_Child",43,55327
"153","Target_Child",44,61235
"154","Target_Child",45,60459
"155","Target_Child",46,56405
"156","Target_Child",47,44202
"157","Target_Child",48,58797
"158","Target_Child",49,42597
"159","Target_Child",50,49349
"160","Target_Child",51,42463
"161","Target_Child",52,47053
"162","Target_Child",53,31656
"163","Target_Child",54,43525
"164","Target_Child",55,36858
"165","Target_Child",56,34080
"166","Target_Child",57,341451
"167","Target_Child",58,38318
"168","Target_Child",59,38812
"169","Target_Child",60,29688
"170","Target_Child",61,18777
"171","Target_Child",62,19782
"172","Target_Child",63,15327
"173","Target_Child",64,9002
"174","Target_Child",65,8604
"175","Target_Child",66,13190
"176","Target_Child",67,16576
"177","Target_Child",68,14819
"178","Target_Child",69,17443
"179","Target_Child",70,11071
"180","Target_Child",71,9555
