"","value","X..2.5..","X..97.5....","annotation"
"0",0.892857142857143,0.862346359911755,0.918814557131389,"intonation"
"1",0.448275862068966,0.280580762250454,0.590163934426229,"intonation"
"2",0,0,0,"intonation"
"AND",0.984562607204117,0.972411406753371,0.993220338983051,"interpretation"
"IOR",0,0,0,"interpretation"
"XNOR",0.5,0,0.857142857142857,"interpretation"
"XOR",1,1,1,"interpretation"
"01",0.632911392405063,0.5,0.752948815889992,"answer"
"AB",0.4,0,1,"answer"
"N",0.943089430894309,0.920159646136936,0.963414634146341,"answer"
"YN",0.916666666666667,0.769230769230769,1,"answer"
"declarative",0.937219730941704,0.912841727726125,0.960663429981828,"utterance_type"
"declarative-interrogative",0.285714285714286,0,0.666666666666667,"utterance_type"
"imperative",0.612244897959184,0.428571428571429,0.75,"utterance_type"
"imperative-declarative",0.5,0,1,"utterance_type"
"interrogative",0.818181818181818,0.716408697254468,0.9,"utterance_type"
"interrogative-declarative",0,0,0,"utterance_type"
"clarification",0.285714285714286,0,0.571428571428571,"communicative_function"
"conditional",0.727272727272727,0.285714285714286,1,"communicative_function"
"defex",0.666666666666667,0,1,"communicative_function"
"description",0.899543378995434,0.869560321190756,0.928896755162242,"communicative_function"
"directive",0.701754385964912,0.55311170212766,0.830188679245283,"communicative_function"
"identification",0.434782608695652,0.133125,0.666666666666667,"communicative_function"
"options",0.681818181818182,0.5,0.82051282051282,"communicative_function"
"preference",0,0,0,"communicative_function"
"repair",0.333333333333333,0,0.8,"communicative_function"
"N1",0.79144385026738,0.717363498483316,0.851063829787234,"syntactic_level"
"S",0.905569007263923,0.872880084557946,0.934242017975073,"syntactic_level"
"02",0.996644295302013,0.991539763113367,1,"consistency"
"11",0.5,0,1,"consistency"
