"iteration","statistic","Utterance.Type","Intonation","Syntactic.Level","Consistency","Communicative.Function","Answers","Connective.Interpretation"
1,"kappa",0.866666666666667,0.545454545454545,0.931506849315069,0.365079365079365,0.559471365638767,0.608938547486034,0.451219512195122
1,"pct_agree",93.3333333333333,70,96.6666666666667,73.3333333333333,66.6666666666667,76.6666666666667,80
2,"kappa",0.927230046948357,0.464594127806563,0.871369294605809,0.491803278688525,0.44853875476493,0.51937984496124,0.260143198090692
2,"pct_agree",96.7741935483871,67.741935483871,93.5483870967742,74.1935483870968,54.8387096774194,74.1935483870968,67.741935483871
3,"kappa",0.880769230769231,0.69205298013245,0.794701986754967,0.263498920086393,0.314917127071823,0.554313099041534,0.261904761904762
3,"pct_agree",93.5483870967742,80.6451612903226,90.3225806451613,64.5161290322581,48.3870967741936,70.9677419354839,54.8387096774194
4,"kappa",1,0.90251572327044,1,0.784222737819026,0.796320630749014,0.580451127819549,0.7508038585209
4,"pct_agree",100,93.5483870967742,100,90.3225806451613,83.8709677419355,70.9677419354839,83.8709677419355
5,"kappa",1,0.828729281767956,0.935281837160752,0.516703786191537,0.539189189189189,0.667177914110429,0.77536231884058
5,"pct_agree",100,90.3225806451613,96.7741935483871,77.4193548387097,64.5161290322581,77.4193548387097,87.0967741935484
6,"kappa",0.803611738148984,0.886274509803922,0.858536585365854,0.793349168646081,0.774844720496894,0.900641025641025,0.932400932400932
6,"pct_agree",89.6551724137931,93.1034482758621,93.1034482758621,89.6551724137931,82.7586206896552,93.5483870967742,96.551724137931
7,"kappa",0.939805825242718,0.891696750902527,0.870833333333333,0.736170212765958,0.913769123783032,0.90032154340836,0.948160535117057
7,"pct_agree",96.7741935483871,93.3333333333333,93.5483870967742,87.0967741935484,93.5483870967742,93.5483870967742,96.7741935483871
8,"kappa",0.933760683760684,0.950636942675159,0.81547619047619,0.93446088794926,0.847540983606557,0.73082489146165,0.900958466453674
8,"pct_agree",96.7741935483871,96.7741935483871,93.5483870967742,96.7741935483871,90.3225806451613,80.6451612903226,93.5483870967742
